행사내용,홈페이지주소,주최기관,객석수,전화번호,주차장보유여부,소재지지번주소,행사종료일자,예매정보,관람요금,주관기관,입장연령,유의사항,경도,할인정보,소재지도로명주소,행사시간,요금정보,위도,행사시작일자,행사명,후원기관,데이터기준일자,장소
공연,http://www.hbcf.or.kr/front/,북구생활문화센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-05-16,,0,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,0,대구광역시 북구 구암로 47(관음동),15:00~16:30+19:30~21:00,무료,35.934767,2018-05-16,연극 시집가는 날,,2018-08-21,어울아트센터 함지홀
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단, 한국문화예술위원회",434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-05-26,,10000원,(재)행복북구문화재단,8세 이상 관람가,,128.5462372,"회원 8,000원",대구광역시 북구 구암로 47(관음동),15:00~17:00+19:00~21:00,유료,35.934767,2018-05-26,악극 폭소춘향전,,2018-08-21,어울아트센터 함지홀
공연,http://www.hbcf.or.kr/front/,문화체육관광부,400,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-05-30,,0,"(재)행복북구문화재단 어울아트센터, 한국문화예술회관연합회",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~20:30,무료,35.934767,2018-05-30,"문화가 있는 날-나, 봉앤줄",,2018-08-21,함지공원
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",116,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-06-04,,0,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",전체 관람가능,,128.5462372,0,대구광역시 북구 구암로 47(관음동),10:00~11:00+11:30~12:30+13:30~14:30,무료,35.934767,2018-06-01,어린이 체험극 <피터와 늑대>,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",116,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-06-14,,,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:30~11:00+13:00~14:00+15:00~16:00,무료,35.934767,2018-06-14,CM심포니 오케스트라의 찾아오는 음악회1,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",150,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-06-15,,,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),9:30~10:30,무료,35.934767,2018-06-15,CM심포니 오케스트라의 찾아가는 음악회2,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,읍내고등학교 강당
특강,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-06-15,,0,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),11:00~12:00,무료,35.934767,2018-06-15,<음악과 함께하는 행복찾기>,,2018-08-21,어울아트센터 함지홀
공연,http://www.hbcf.or.kr/front/,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",50,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-06-26,,0,"(재)행복북구문화재단 어울아트센터, CM심포니 오케스트라",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:30~11:30,무료,35.934767,2018-06-26,CM심포니 오케스트라의 찾아가는 음악회3,"(재)대구문화재단, 대구광역시, 한국문화예술위원회",2018-08-21,도도 어린이집
공연,http://www.hbcf.or.kr/front/,문화체육관광부,116,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-06-27,,0,"(재)행복북구문화재단 어울아트센터, 한국문화예술회관연합회",8세이상 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~21:00,무료,35.934767,2018-06-27,문화가 있는 날-음악에 음악을 더하다,,2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,400,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-07-14,,0,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~21:00,무료,35.934767,2018-07-14,"여름 밤, 재즈에 빠지다.",,2018-08-21,어울아트센터 야외공연장
공연,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,116,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-07-19,,10000원,(재)행복북구문화재단 어울아트센터,전체 관람가능,,128.5462372,"임산부, 48개월이상 아동(5,000원)",대구광역시 북구 구암로 47(관음동),11:00~12:00,유료,35.934767,2018-07-19,아가랑 콘서트 1,,2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,문화체육관광부,116,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-07-25,,0,"(재)행복북구문화재단 어울아트센터, 한국문화예술회관연합회",8세이상 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~21:00,무료,35.934767,2018-07-25,문화가 있는 날-이등병의 편지,,2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-08-16,,0,(재)행복북구문화재단 어울아트센터,15세 이상 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~21:10,무료,35.934767,2018-08-16,소피아 로렌 회고전-이탈리아 결혼,,2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-08-17,,0,(재)행복북구문화재단 어울아트센터,15세 이상 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),19:30~21:10,무료,35.934767,2018-08-17,소피아 로렌 회고전-두 여인,,2018-08-21,어울아트센터 오봉홀
공연,http://www.hbcf.or.kr/front/,(재)행복북구문화재단 어울아트센터,434,053-320-5120,Y,대구광역시 북구 관음동 1372번지,2018-08-18,,0,(재)행복북구문화재단 어울아트센터,15세 이상 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),16:00~17:40,무료,35.934767,2018-08-18,소피아 로렌 회고전-해바라기,,2018-08-21,어울아트센터 오봉홀
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-02-03,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-01-25,유망작가 릴레이전 1<서현규 초대전>,,2018-08-21,어울아트센터 갤러리 명봉
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-03-31,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-02-27,재단출범 기념 전시<행복 줌-놓치지 않는>,,2018-08-21,어울아트센터 갤러리 금호
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-03-31,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-03-20,유망작가 릴레이전 1<배문경 초대전>,,2018-08-21,어울아트센터 갤러리 명봉
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-05-05,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-04-23,지역미술협회 초대전<강북예인전>,,2018-08-21,어울아트센터 갤러리 명봉
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-05-17,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-05-03,가정의 달 기념 전시<꿈꾸는 다락>,,2018-08-21,어울아트센터 갤러리 금호
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-06-29,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-06-15,성장·通 프로젝트,,2018-08-21,어울아트센터 갤러리 금호
전시,http://www.hbcf.or.kr,"한국문화예술위원회,(재)행복북구문화재단",,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-08-31,,무료,한국문화예술회관연합회,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-07-03,"아티스트 북, I-Message 展",문화체육관광부,2018-08-21,어울아트센터 갤러리 금호 및 야외 공원
전시,http://www.hbcf.or.kr,(재)행복북구문화재단,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-07-28,,무료,(재)행복북구문화재단,전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-07-16,유망작가 릴레이전 1<방정호 초대전>,,2018-08-21,어울아트센터 갤러리 명봉
전시,http://www.hbcf.or.kr,문화체육관광부,,053-320-5123,Y,대구광역시 북구 관음동 1372번지,2018-09-12,,무료,"한국문화예술위원회,(재)행복북구문화재단",전체 관람가능,,128.5462372,,대구광역시 북구 구암로 47(관음동),10:00~18:00,무료,35.934767,2018-08-20,미디어세상에서 미술로 놀기결과물 발표전시회,,2018-08-21,어울아트센터 갤러리 명봉
