관리기관명,소재지지번주소,설치년월,보관일수,카메라대수,경도,소재지도로명주소,위도,설치목적구분,촬영방면정보,데이터기준일자,카메라화소수,관리기관전화번호
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.544679,"대구광역시 북구 관음중앙로 80, 관음공영주차장",35.941047,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.548946,"대구광역시 북구 칠곡중앙대로 416, 동아아울렛",35.933033,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.548946,"대구광역시 북구 칠곡중앙대로 416, 동아아울렛",35.933033,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.548886,"대구광역시 북구 칠곡중앙대로 412, 네오시티플라자",35.932303,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.548886,"대구광역시 북구 칠곡중앙대로 412, 네오시티플라자",35.932303,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.548946,"대구광역시 북구 칠곡중앙대로 416, 동아아울렛",35.933033,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.548886,"대구광역시 북구 칠곡중앙대로 412, 네오시티플라자",35.932303,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605383,"대구광역시 북구 산격로 42, 산격3공영주차장",35.894402,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604507,"대구광역시 북구 칠성시장로 28, 칠성시장",35.876822,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604507,"대구광역시 북구 칠성시장로 28, 칠성시장",35.876822,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610006,"대구광역시 북구 동북로 160, 산격시장 농협",35.899327,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610006,"대구광역시 북구 동북로 160, 산격시장 농협",35.899327,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.611619,"대구광역시 북구 동북로 174, 산격시장 대구은행",35.898724,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.611619,"대구광역시 북구 동북로 174, 산격시장 대구은행",35.898724,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,"대구광역시 북구 대현동 274-17, 강남약국",,30,1,128.611979,대구광역시 북구,35.880786,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,"대구광역시 북구 대현동 274-17, 강남약국",,30,1,128.611979,대구광역시 북구,35.880786,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,"대구광역시 북구 대현동 274-17, 강남약국",,30,1,128.611979,대구광역시 북구,35.880786,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604507,"대구광역시 북구 칠성시장로 28, 칠성시장",35.876822,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,"대구광역시 북구 태전동 1067-3, 태전동 시외버스하차장",,30,1,128.539958,대구광역시 북구,35.932957,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,"대구광역시 북구 태전동 1067-3, 태전동 시외버스하차장",,30,1,128.539958,대구광역시 북구,35.932957,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,"대구광역시 북구 태전동 1067-3, 태전동 시외버스하차장",,30,1,128.539958,대구광역시 북구,35.932957,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543412,"대구광역시 북구 영송로 15, 대구보건대학교",35.927596,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543412,"대구광역시 북구 영송로 15, 대구보건대학교",35.927596,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543412,"대구광역시 북구 영송로 15, 대구보건대학교",35.927596,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.56619,"대구광역시 북구 팔달로 147, 엠병원",35.889402,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.56619,"대구광역시 북구 팔달로 147, 엠병원",35.889402,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.56619,"대구광역시 북구 팔달로 147, 엠병원",35.889402,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610006,"대구광역시 북구 동북로 160, 산격시장 농협",35.899327,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.611619,"대구광역시 북구 동북로 174, 산격시장 대구은행",35.898724,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.619798,"대구광역시 북구 검단로 115, 유성아파트",35.90774,교통단속,,2018-06-30,80,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.619798,"대구광역시 북구 검단로 115, 유성아파트",35.90774,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.619798,"대구광역시 북구 검단로 115, 유성아파트",35.90774,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,대구광역시 북구 대현동 390,,30,1,128.608914,"대구광역시 북구 대현로20길 30, 대현동 동대구시장",35.881144,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,대구광역시 북구 대현동 390,,30,1,128.608914,"대구광역시 북구 대현로20길 30, 대현동 동대구시장",35.881144,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.563203,"대구광역시 북구 학정로 429, 참약국",35.943089,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.563203,"대구광역시 북구 학정로 429, 참약국",35.943089,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.563203,"대구광역시 북구 학정로 429, 참약국",35.943089,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.555983,"대구광역시 북구 구암로32길 6-20(구암동), 대구은행",35.931306,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.555983,"대구광역시 북구 구암로32길 6-20(구암동), 대구은행",35.931306,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.555983,"대구광역시 북구 구암로32길 6-20(구암동), 대구은행",35.931306,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.562035,"대구광역시 북구 동암로 102, 동신빌딩",35.944022,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.562035,"대구광역시 북구 동암로 102, 동신빌딩",35.944022,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.562035,"대구광역시 북구 동암로 102, 동신빌딩",35.944022,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.563156,"대구광역시 북구 학정로 427, 신한은행",35.942755,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.563156,"대구광역시 북구 학정로 427, 신한은행",35.942755,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.563156,"대구광역시 북구 학정로 427, 신한은행",35.942755,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.54853,"대구광역시 북구 칠곡중앙대로 443 한영빌딩, 한영정형외과",35.935351,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.54853,"대구광역시 북구 칠곡중앙대로 443 한영빌딩, 한영정형외과",35.935351,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.54853,"대구광역시 북구 칠곡중앙대로 443 한영빌딩, 한영정형외과",35.935351,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.598803,"대구광역시 북구 호국로 215, 행운보석",35.920852,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.598803,"대구광역시 북구 호국로 215, 행운보석",35.920852,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.598803,"대구광역시 북구 호국로 215, 행운보석",35.920852,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.609192,"대구광역시 북구 대학로 83, 경북대북문",35.892796,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.609192,"대구광역시 북구 대학로 83, 경북대북문",35.892796,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.609192,"대구광역시 북구 대학로 83, 경북대북문",35.892796,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.546545,"대구광역시 북구 칠곡중앙대로 59, 웨딩아일랜드",35.90139,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.546545,"대구광역시 북구 칠곡중앙대로 59, 웨딩아일랜드",35.90139,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.546545,"대구광역시 북구 칠곡중앙대로 59, 웨딩아일랜드",35.90139,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.617,"대구광역시 북구 동북로 234, KB은행",35.895551,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.617,"대구광역시 북구 동북로 234, KB은행",35.895551,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.617,"대구광역시 북구 동북로 234, KB은행",35.895551,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.619388,"대구광역시 북구 동북로 270, 시티병원",35.893474,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.619388,"대구광역시 북구 동북로 270, 시티병원",35.893474,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.619388,"대구광역시 북구 동북로 270, 시티병원",35.893474,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.608914,"대구광역시 북구 대현로20길 30, 대현동 동대구시장",35.881144,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.600495,"대구광역시 북구 칠성시장로 133-3, 매일천막",35.885197,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.600495,"대구광역시 북구 칠성시장로 133-3, 매일천막",35.885197,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.600495,"대구광역시 북구 칠성시장로 133-3, 매일천막",35.885197,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.56807,"대구광역시 북구 팔달로 165, 독일약국",35.889014,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.56807,"대구광역시 북구 팔달로 165, 독일약국",35.889014,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.56807,"대구광역시 북구 팔달로 165, 독일약국",35.889014,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.565314,"대구광역시 북구 노원로 20, 오내과",35.890866,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.565314,"대구광역시 북구 노원로 20, 오내과",35.890866,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.565314,"대구광역시 북구 노원로 20, 오내과",35.890866,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,대구광역시 북구 관음동 474-4,,30,1,128.544613,"대구광역시 북구 관음중앙로 46, 관음상가 타운",35.93783,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,대구광역시 북구 관음동 474-4,,30,1,128.544613,"대구광역시 북구 관음중앙로 46, 관음상가 타운",35.93783,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,대구광역시 북구 관음동 474-4,,30,1,128.544613,"대구광역시 북구 관음중앙로 46, 관음상가 타운",35.93783,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.590994,"대구광역시 북구 침산로 154, 본죽",35.889958,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.590994,"대구광역시 북구 침산로 154, 본죽",35.889958,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.590994,"대구광역시 북구 침산로 154, 본죽",35.889958,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.598753,"대구광역시 북구 칠성동2가 302-94, 칠성공영주차장(구. 남일상회)",35.876012,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.598753,"대구광역시 북구 칠성동2가 302-94, 칠성공영주차장(구. 남일상회)",35.876012,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.598753,"대구광역시 북구 칠성동2가 302-94, 칠성공영주차장(구. 남일상회)",35.876012,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.555285,"대구광역시 북구 팔거천동로 80-1, 세종학원",35.931427,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.555285,"대구광역시 북구 팔거천동로 80-1, 세종학원",35.931427,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.555285,"대구광역시 북구 팔거천동로 80-1, 세종학원",35.931427,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.547622,"대구광역시 북구 태암남로 1, 원대새마을금고",35.925747,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.547622,"대구광역시 북구 태암남로 1, 원대새마을금고",35.925747,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.547622,"대구광역시 북구 태암남로 1, 원대새마을금고",35.925747,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.540125,"대구광역시 북구 매천로 63(팔달동), 수산시장",35.902167,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.540125,"대구광역시 북구 매천로 63(팔달동), 수산시장",35.902167,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.540125,"대구광역시 북구 매천로 63(팔달동), 수산시장",35.902167,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543809,"대구광역시 북구 매천로18길 34, 농산물도매시장 1문",35.903043,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543809,"대구광역시 북구 매천로18길 34, 농산물도매시장 1문",35.903043,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543809,"대구광역시 북구 매천로18길 34, 농산물도매시장 1문",35.903043,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543809,"대구광역시 북구 매천로18길 34, 농산물도매시장 3문",35.903043,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543809,"대구광역시 북구 매천로18길 34, 농산물도매시장 3문",35.903043,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543809,"대구광역시 북구 매천로18길 34, 농산물도매시장 3문",35.903043,교통단속,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.610616,"대구광역시 북구 동북로36길 14, 산격공영주차장",35.897963,시설물관리,,2018-06-30,41,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.556428,대구광역시 북구 구암로 146(구암동 농협중앙회),35.931547,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.556428,대구광역시 북구 구암로 146(구암동 농협중앙회),35.931547,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543334,대구광역시 북구 매전로 17(매천동 화성파크드림아파트 삼거리),35.909615,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543334,대구광역시 북구 매전로 17(매천동 화성파크드림아파트 삼거리),35.909615,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543334,대구광역시 북구 매전로 17(매천동 화성파크드림아파트 삼거리),35.909615,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.556428,대구광역시 북구 구암로 146(구암동 농협중앙회),35.931547,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.543334,대구광역시 북구 매전로 17(매천동 화성파크드림아파트 삼거리),35.909615,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.554336,대구광역시 북구 동천동 125(동천회전교차로),35.944617,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.554336,대구광역시 북구 동천동 125(동천회전교차로),35.944617,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.554336,대구광역시 북구 동천동 125(동천회전교차로),35.944617,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.554336,대구광역시 북구 동천동 125(동천회전교차로),35.944617,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.609192,대구광역시 북구 복현동 대학로 83(경북대북문),35.892796,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.609192,대구광역시 북구 복현동 대학로 83(경북대북문),35.892796,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.554336,대구광역시 북구 동천동 125(동천회전교차로),35.944617,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.609192,대구광역시 북구 복현동 대학로 83(경북대북문),35.892796,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.615448,대구광역시 북구 대현동 산12(경북대정문),35.885347,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.615448,대구광역시 북구 대현동 산13(경북대정문),35.885347,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.615448,대구광역시 북구 대현동 산14(경북대정문),35.885347,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604821,대구광역시 북구 칠성동 칠성남로226-1(해오름식육식당),35.875955,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604899,대구광역시 북구 칠성동 칠성남로226-2(해오름식육식당),35.875936,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.605055,대구광역시 북구 칠성동 칠성남로226-3(해오름식육식당),35.876134,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604666,대구광역시 북구 칠성1가 칠성시장로 18-1(오륙민물수산),35.875857,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604622,대구광역시 북구 칠성1가 칠성시장로 18-2(오륙민물수산),35.87592,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.604455,대구광역시 북구 칠성1가 칠성시장로 18-3(오륙민물수산),35.875831,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.603435,대구광역시 북구 칠성1가 칠성시장로 37(거창식당),35.877098,교통단속,,2018-06-30,130,053-665-3171
대구광역시 북구청 교통과,,,30,1,128.603226,대구광역시 북구 칠성1가 칠성시장로 38(거창식당),35.877315,교통단속,,2018-06-30,130,053-665-3171
