취급품목,시장유형,홈페이지주소,시장명,전화번호,주차장보유여부,소재지지번주소,개설년도,시장개설주기,경도,점포수,소재지도로명주소,위도,공중화장실보유여부,데이터기준일자,사용가능상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,복현전통신시장,,N,대구광역시 북구 복현동 457-8,2011,매일,128.625300,56,대구광역시 북구 경진로1길 68,35.892800,N,2018-06-18,온누리상품권
"농산물, 생필품, 수산물, 잡화 등",상설장,,칠성진시장,,N,대구광역시 북구 칠성동1가 96-2,2012,매일,128.604500,130,대구광역시 북구 칠성시장로 19,35.876760,N,2018-06-18,온누리상품권
"전자기기, 주방기기 등",상설장,,칠성전자주방시장,053-424-4572,N,대구광역시 북구 칠성동2가 409-711,2017,매일,128.601538,71,대구광역시 북구 칠성시장로 73-1,35.880270,N,2018-06-18,온누리상품권
"커튼, 침구, 그릇, 귀금속, 직물, 가구 등",상설장,http://www.texvile.com,섬유제품관,053-601-1500,Y,대구광역시 북구 산격동 1667,2017,매일,128.609657,699,대구광역시 북구 유통단지로 60,35.906399,Y,2018-06-18,온누리상품권
"가전제품, 음향기기, 컴퓨터 소모품 등",상설장,http://www.eshop.or.kr,전자상가,053-604-2011,Y,대구광역시 북구 산격동 1626,2017,매일,128.605496,369,대구광역시 북구 유통단지로 25,35.906071,Y,2018-06-18,온누리상품권
"TV, 디지털카메라, 에어컨 등 종합가전",상설장,http://www.ezone.or.kr,전자관,053-604-2000,Y,대구광역시 북구 산격동 1621,2017,매일,128.606996,1011,대구광역시 북구 유통단지로 45,35.907358,Y,2018-06-18,온누리상품권
"기계공구, 농업용 기자재, 자동차 부품 등",상설장,http://www.dgtool.com,산업용재관,053-604-0700,Y,대구광역시 북구 산격동 1629,2017,매일,128.605860,848,대구광역시 북구 유통단지로 16,35.904256,Y,2018-06-18,온누리상품권
"전기재료, 조명기구, 반도체, 전자부품 등",상설장,http://www.dgemc.com,전기재료관,053-604-4114,Y,대구광역시 북구 산격동 1665,2017,매일,128.607534,120,대구광역시 북구 유통단지로 38,35.905629,Y,2018-06-18,온누리상품권
"전기조명, 특수조명, 관련 전기재료 등",상설장,http://dgelc.com,전기조명관,053-604-6114,Y,대구광역시 북구 산격동 1666,2017,매일,128.608262,83,대구광역시 북구 유통단지로 50,35.905975,Y,2018-06-18,온누리상품권
"농수산물, 생필품, 잡화 등",상설장,,칠성본시장,053-253-7705,N,대구광역시 북구 칠성동1가 400-17,2015,매일,128.600739,75,대구광역시 북구 칠성시장로 97-1,35.882294,N,2018-06-18,온누리상품권
농산물+축산물+수산물+가공식품+의류및신발+음식점업+기타소매업+근린생활서비스 등,상설장,미보유,관음시장,053-565-3265,N,대구광역시 북구 관음동 1284,2007,상시,128.547225,52,대구광역시 북구 관음중앙로28길 1,35.944932,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업 등,상설장/5일장,미보유,칠곡정기시장,053-321-8070,Y,대구광역시 북구 읍내동 1201-1?,1905,5일,128.551031,62,대구광역시 북구 중앙대로 526,35.955424,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업+근린생활서비스 등,상설장/5일장,미보유,서변중앙시장,053-953-0590,N,대구광역시 북구 서변동 1751,2009,5일,128.596257,57,대구광역시 북구 호국로43길 27,35.920787,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업+근린생활서비스 등,상설장,미보유,산격종합시장,053-565-3226,N,대구광역시 북구 산격동 1258,1905,상시,128.610722,216,대구광역시 북구 대동로1길 34,35.898262,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업+근린생활서비스 등,상설장,www.paldu.org,팔달신시장,053-357-4953,N,대구광역시 북구 노원3가 876,2005,상시,128.566567,650,대구광역시 북구 팔달로27길 42,35.890529,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+음식점업+근린생활서비스 등,상설장,미보유,복현전통신시장,053-565-3226,N,대구광역시 북구 복현동 493-9,2011,상시,128.617793,56,대구광역시 북구 공항로 50,35.890825,Y,2018-05-30,
농산물+축산물+수산물+의류및신발+가정용품+음식점업+기타소매업 등,상설장,미보유,팔달시장,053-565-3226,N,대구광역시 북구 노원2가 375,1905,상시,128.571073,120,대구광역시 북구 팔달로37길 11,35.888732,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업 등,상설장,미보유,동대구광역시신시장,053-939-7720,Y,대구광역시 북구 대현동 272,2009,상시,128.610867,105,대구광역시 북구 대현로20길 25,35.881408,N,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업+근린생활서비스 등,상설장,미보유,동대구광역시시장,053-942-9796,Y,대구광역시 북구 대현동 390,1905,상시,128.608951,73,대구광역시 북구 대현로20길 30,35.881164,Y,2018-05-30,
농산물+축산물+수산물+가공식품+가정용품+음식점업+기타소매업 등,상설장,미보유,삼성시장,053-425-4073,N,대구광역시 북구 칠성1가 276-108,2010,상시,128.603885,70,대구광역시 북구 칠성시장로 42,35.877663,Y,2018-05-30,
농산물+기타소매업 등,상설장,미보유,대구광역시능금시장,053-425-8510,N,대구광역시 북구 칠성1가 250-1,2008,상시,128.602474,139,대구광역시 북구 칠성남로41길 21,35.877078,Y,2018-05-30,
농산물+축산물+수산물+음식점업 등,상설장,미보유,대구광역시청과시장,053-285-8707,N,대구광역시 북구 칠성1가 276-102,2013,상시,128.604401,107,대구광역시 북구 칠성시장로 34,35.877005,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+음식점업+근린생활서비스 등,상설장,www.chilseongmarket.co.kr,칠성시장,053-423-3480,N,대구광역시 북구 칠성1가 276-165,1974,상시,128.604663,338,대구광역시 북구 칠성시장로 28,35.876499,Y,2018-05-30,
농산물+수산물+가공식품+가정용품+음식점업+기타소매업 등,상설장,미보유,대성시장,053-627-2303,Y,대구광역시 북구 칠성 302-95,1905,상시,128.601204,19,대구광역시 북구 공평로 135,35.875967,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+음식점업+기타소매업+근린생활서비스 등,상설장,미보유,칠성진시장,053-423-9010,N,대구광역시 북구 칠성동1가  96-2,2012,상시,128.608745,130,대구광역시 북구 칠성시장로 19,35.875517,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+음식점업+기타소매업+근린생활서비스 등,상설장,미보유,경명시장,053-423-9010,N,대구광역시 북구 칠성동 89,2012,상시,128.604367,47,대구광역시 북구 칠성시장로 19,35.875464,Y,2018-05-30,
농산물+축산물+수산물+가공식품+의류및신발+가정용품+음식점업+기타소매업+근린생활서비스 등,상설장,미보유,칠성원시장,053-425-7894,N,대구광역시 북구 칠성1가 81,2006,상시,128.603613,145,대구광역시 북구 칠성시장로5길 22,35.875288,Y,2018-05-30,
의류및신발+가정용품+음식점업+기타소매업 등,상설장,kdmarket.co.kr,교동시장활성화구역,053-427-0443,N,대구광역시 중구 교동 67-12,2010,상시,128.596564,813,대구광역시 중구 교동길 40,35.878316,Y,2018-05-30,
